id,release_date,original_title,title
30940,2000-03-12,The Inspectors 2: A Shred of Evidence,The Inspectors 2: A Shred of Evidence
391294,1984-11-01,La pulquería 3: Entre ficheras anda el diablo,La pulquería 3: Entre ficheras anda el diablo
201252,1994-05-05,Return of the Boogeyman,Return of the Boogeyman
54281,1968-12-28,座頭市喧嘩太鼓,Samaritan Zatoichi
437841,2005-09-02,Coleção de Humanos Mortos,Dead Human Collection
330,1997-05-23,The Lost World: Jurassic Park,The Lost World: Jurassic Park
57597,1995-11-14,Xtro 3: Watch the Skies,Xtro 3: Watch the Skies
263262,1938-11-18,Sixty Glorious Years,Sixty Glorious Years
31264,1982-12-13,Ator 2 - L'invincibile Orion,The Blade Master
54274,1965-09-18,座頭市逆手斬り,Zatoichi and the Doomed Man
73751,1978-05-13,射鵰英雄傳續集,The Brave Archer 2
54498,1982-08-28,The Junkman,The Junkman
84710,1944-06-01,Jungle Woman,Jungle Woman
108275,1952-09-05,El enamorado,El enamorado
449380,1993-12-24,Bargearse,Bargearse
335034,1970-02-23,Ritual of Evil,Ritual of Evil
27736,2000-10-01,Camp Blood 2,Camp Blood 2
13202,2007-09-04,Animal 2,Animal 2
150154,1994-12-07,Magic Kid II,Magic Kid II
48193,1987-01-09,Ator il guerriero di ferro,Iron Warrior
37712,2001-10-27,ピストルオペラ,Pistol Opera
86185,1978-07-01,Adventures of a Plumber's Mate,Adventures of a Plumber's Mate
88678,1956-07-09,Francis in the Haunted House,Francis in the Haunted House
136852,1957-12-11,La maldición de la momia azteca,The Curse of the Aztec Mummy
204712,2002-12-05,"Der kleine Eisbär - Neue Abenteuer, neue Freunde",The Little Polar Bear: Lars and the Little Tiger
125337,1999-06-08,The Last Seduction II,The Last Seduction II
112206,1996-09-13,Friend of the Family II,Friend of the Family II
42263,1975-07-23,Return to Macon County,Return to Macon County
360158,2005-07-28,วัยอลวน 4: ตั้ม-โอ๋ รีเทิร์น,Oops! There's Dad
287641,2004-12-25,Mano Po III: My Love,Mano Po III: My Love
88677,1952-07-01,Francis Goes to West Point,Francis Goes to West Point
118572,1991-06-18,La venganza de los punks,Vengeance of the Punks
274738,2007-12-25,"Enteng Kabisote 4: Okay ka, Fairy ko... The Beginning of the Legend","Enteng Kabisote 4: Okay ka, Fairy ko... The Beginning of the Legend"
52485,1978-11-15,The Further Adventures of the Wilderness Family,The Further Adventures of the Wilderness Family
86343,1966-04-06,The Ghost in the Invisible Bikini,The Ghost in the Invisible Bikini
139262,1986-12-15,The Last Days of Patton,The Last Days of Patton
368413,1963-02-05,El pueblo fantasma,Ghost Town
167075,1935-12-31,The Lone Wolf Returns,The Lone Wolf Returns
156545,1951-12-20,¿Qué te ha dado esa mujer?,¿Qué te ha dado esa mujer?
112703,1987-03-15,The Stepford Children,The Stepford Children
262004,1995-08-04,Black Fox: The Price of Peace,Black Fox: The Price of Peace
54284,1972-01-15,座頭市御用旅,Zatoichi at Large
89661,1958-07-14,Cuando ¡Viva Villa..! es la muerte,This Was Pancho Villa: Third chapter
89545,1973-04-10,Class of '44,Class of '44
192963,1992-02-06,Karate Warrior 4,Karate Warrior 4
87243,1984-01-06,"The Jerk, Too","The Jerk, Too"
213104,1965-12-22,Pinocchio in Outer Space,Pinocchio in Outer Space
134830,1988-06-20,プロジェクト A子3 - シンデレラ・ラプソディ,Project A-Ko 3: Cinderella Rhapsody
88679,1954-07-30,Francis Joins the WACS,Francis Joins the WACS
218113,1943-07-16,Hers to Hold,Hers to Hold
43435,1949-08-17,Jolson Sings Again,Jolson Sings Again
116214,1986-01-01,Popeye Doyle,Popeye Doyle
151569,1952-02-27,Ahora soy rico,Far from Heaven
90315,1970-05-06,Beast of Blood,Beast of Blood
346886,1973-12-26,Van der Valk und die Reichen,Van der Valk and the Rich
50672,1979-09-19,The Bitch,The Bitch
35000,1974-12-16,Alvin Rides Again,Alvin Rides Again
645987,1994-06-22,Mahô no purinsesu Minkî Momo: Tabidachi no eki,Minky Momo: Station of Your Memories
271147,1957-09-24,Search for Paradise,Search for Paradise
169996,1958-10-28,Further Up the Creek,Further Up the Creek
225424,1986-10-01,The Return of Josey Wales,The Return of Josey Wales
164563,1997-01-01,Vacak 2. - Az erdő hőse,Tiny Heroes
41105,2007-08-27,仮面ライダー THE NEXT,Kamen Rider: The Next
40252,1997-05-20,Witchboard III: The Possession,Witchboard III: The Possession
12076,2005-09-23,Elsk meg i morgen,Love Me Tomorrow
279738,1988-08-27,Portrait of a White Marriage,Portrait of a White Marriage
50549,1952-05-02,Belles on Their Toes,Belles on Their Toes
471103,1969-02-21,Kampf um Rom II - Der Verrat,The Fight for Rome II - The Betrayal
72373,1983-02-02,Le Retour des bidasses en folie,Rookies Run Amok 2
54277,1967-01-03,座頭市鉄火旅,Zatoichi's Cane Sword
279754,1989-09-11,American Boyfriends,American Boyfriends
342820,2004-09-09,Homecoming,Homecoming
139793,1937-06-01,The Road Back,The Road Back
68115,1996-04-01,Terminal Justice,Terminal Justice
368142,1992-02-24,Grass Roots,Grass Roots
125331,2009-06-23,Hobgoblins 2,Hobgoblins 2
41897,1974-09-10,Anche gli angeli tirano di destro,Charleston
227733,1992-07-23,To the Death,To the Death
105989,2007-05-01,Zombi: La creazione,Zombies: The Beginning
29038,2007-09-26,The Hit,The Hit
486549,1983-10-15,Trackdown: Finding the Goodbar Killer,Trackdown: Finding the Goodbar Killer
106425,1982-08-14,新西遊記續集 孫悟空大戰飛人國,Monkey War
