id,release_date,original_title,title
557648,2019-01-27,Rent,Rent
242042,2014-02-02,Barefoot,Barefoot
63647,2004-04-17,கில்லி,Ghilli
9785,2007-04-27,The Invisible,The Invisible
49012,2011-04-08,Arthur,Arthur
26688,2009-09-09,Sorority Row,Sorority Row
10498,1993-03-19,Point of No Return,Point of No Return
14197,2008-05-26,My Sassy Girl,My Sassy Girl
210908,2013-10-31,All Cheerleaders Die,All Cheerleaders Die
499028,2018-03-14,지금 만나러 갑니다,Be with You
1534,2007-01-11,Pathfinder,Pathfinder
17501,2006-10-20,डॉन,Don
33521,1979-07-20,Dracula,Dracula
31676,1990-10-05,Desperate Hours,Desperate Hours
9030,2008-02-01,The Eye,The Eye
5146,2003-05-23,The In-Laws,The In-Laws
222899,2014-02-14,About Last Night,About Last Night
9306,1996-08-23,The Island of Dr. Moreau,The Island of Dr. Moreau
11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II
487476,2018-10-17,Le Jeu,Nothing to Hide
401905,2018-05-12,Fahrenheit 451,Fahrenheit 451
482273,2020-05-08,Valley Girl,Valley Girl
884434,2023-02-17,शहज़ादा,Shehzada
20735,1997-02-14,That Darn Cat,That Darn Cat
28770,1959-06-15,The Man Who Could Cheat Death,The Man Who Could Cheat Death
24070,1994-12-21,Mixed Nuts,Mixed Nuts
26932,1977-07-13,The Island of Dr. Moreau,The Island of Dr. Moreau
1644,1993-02-05,The Vanishing,The Vanishing
18916,2008-01-01,L'Emmerdeur,A Pain in the Ass
8461,2008-03-14,Funny Games,Funny Games
352173,2015-07-30,दृश्यम्,Drishyam
554493,2018-11-30,比悲傷更悲傷的故事,More Than Blue
8398,2007-01-19,The Hitcher,The Hitcher
8849,2004-10-22,Alfie,Alfie
9682,2006-08-11,Pulse,Pulse
768726,2021-06-25,D'Artacán y los tres mosqueperros,Dogtanian and the Three Muskehounds
274804,2014-05-30,MONSTERZ モンスターズ,Monsterz
18573,1953-04-16,House of Wax,House of Wax
25892,1965-02-22,Cinderella,Cinderella
3111,1954-10-01,A Star Is Born,A Star Is Born
730047,2021-04-14,Cyrano,Cyrano
829358,2021-06-11,Queen of Spades,Queen of Spades
15855,1943-08-12,Phantom of the Opera,Phantom of the Opera
553350,2018-11-08,여곡성,The Wrath
444902,2017-05-24,Dirty Dancing,Dirty Dancing
28969,2009-02-27,The Velveteen Rabbit,The Velveteen Rabbit
539649,2018-09-13,The Lie,The Lie
62728,2010-09-13,Brighton Rock,Brighton Rock
27511,1924-12-22,He Who Gets Slapped,He Who Gets Slapped
28431,1952-11-04,The Prisoner of Zenda,The Prisoner of Zenda
515741,2019-08-15,Angel of Mine,Angel of Mine
397520,2016-02-15,Anne of Green Gables,Anne of Green Gables
301730,2014-12-04,Elimination Game,Elimination Game
45914,2005-04-02,The Quatermass Experiment,The Quatermass Experiment
505379,2020-10-16,Rebecca,Rebecca
24795,1994-07-15,Angels in the Outfield,Angels in the Outfield
577328,2019-06-20,कबीर सिंह,Kabir Singh
11352,1989-12-22,Always,Always
10955,2002-09-02,Ripley's Game,Ripley's Game
109099,2013-02-13,Passion,Passion
9666,2003-08-15,呪怨2,Ju-on: The Grudge 2
3079,1957-05-20,The Curse of Frankenstein,The Curse of Frankenstein
401544,2017-01-17,Death Race 2050,Death Race 2050
31696,1991-04-26,A Kiss Before Dying,A Kiss Before Dying
491473,2019-03-07,Gloria Bell,Gloria Bell
22998,1983-12-16,To Be or Not to Be,To Be or Not to Be
755437,2021-12-17,Mamá o papá,You Keep the Kids
905,1929-01-30,Die Büchse der Pandora,Pandora's Box
489927,2018-09-23,The Kindergarten Teacher,The Kindergarten Teacher
505953,2019-01-17,Storm Boy,Storm Boy
602301,2020-12-10,조제,Josée
384756,2019-12-13,Rabid,Rabid
79982,1997-07-18,हां बॉस,Yes Boss
121230,1946-05-05,The Virginian,The Virginian
456529,2019-08-23,Jacob's Ladder,Jacob's Ladder
44147,2010-06-17,Wild Target,Wild Target
56180,2010-08-25,La casa muda,The Silent House
865498,2022-10-19,Le Nouveau Jouet,The New Toy
38602,1980-12-01,Little Lord Fauntleroy,Little Lord Fauntleroy
948190,2022-04-29,Nghề Siêu Dễ,Extremely Easy Job
1914,2006-04-26,FC Venus,FC Venus
19611,2008-09-25,保持通話,Connected
36174,2002-12-26,"Goodbye, Mr. Chips","Goodbye, Mr. Chips"
667869,2020-11-03,La vita davanti a sé,The Life Ahead
8617,2008-04-10,Prom Night,Prom Night
5971,1989-06-02,We're No Angels,We're No Angels
384345,2016-03-05,映画ドラえもん 新・のび太の日本誕生,Doraemon: Nobita and the Birth of Japan
462743,2016-11-24,20 ใหม่ ยูเทิร์นวัย หัวใจรีเทิร์น,Suddenly Twenty
217414,2013-11-15,¿Quién mató a Bambi?,Who Killed Bambi?
965606,2023-03-30,भोला,Bholaa
574370,2019-04-12,Lo dejo cuando quiera,I Can Quit Whenever I Want
30584,1984-08-17,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight
33788,2009-07-16,Possession,Possession
802324,2021-10-28,Una notte da dottore,Doctor on Call
818543,2021-09-27,Slumber Party Massacre,Slumber Party Massacre
399747,2016-06-18,"Mother, May I Sleep with Danger?","Mother, May I Sleep with Danger?"
94533,1958-09-03,The Badlanders,The Badlanders
228355,2013-10-16,Boss,Boss
347701,2008-07-17,High School Musical: El Desafío,Viva High School Musical: Mexico
92182,2011-01-21,Silent House,Silent House
37559,2003-06-20,Fanfan la tulipe,Fan-Fan the Tulip
421928,2016-10-13,럭키,Luck-Key
536396,2019-09-06,Blackbird,Blackbird
19636,2005-11-03,गरम मसाला,Garam Masala
450274,2017-06-10,22年目の告白 ―私が殺人犯です―,Memoirs of a Murderer
25166,2000-03-03,Drowning Mona,Drowning Mona
71655,1955-01-27,Escuela de vagabundos,School for Tramps
63448,2011-01-14,சிறுத்தை,Siruthai
575754,2019-06-26,비스트,The Beast
11370,2001-09-07,The Musketeer,The Musketeer
31909,1986-06-06,Invaders from Mars,Invaders from Mars
33107,2010-02-25,And Soon the Darkness,And Soon the Darkness
16764,2004-11-12,Toolbox Murders,Toolbox Murders
11807,2007-10-26,जब वी मेट,Jab We Met
