id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
9070,1995-06-30,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,Power Rangers Collection,708816,703807.0
6499,1997-03-27,Turbo: A Power Rangers Movie,Turbo: A Power Rangers Movie,Power Rangers Collection,708816,1594408.0
609,1982-06-04,Poltergeist,Poltergeist,Poltergeist Collection,10453,7051491.0
10306,1988-06-10,Poltergeist III,Poltergeist III,Poltergeist Collection,10453,3316533.0
11133,1986-05-23,Poltergeist II: The Other Side,Poltergeist II: The Other Side,Poltergeist Collection,10453,7051746.0
984,1971-12-23,Dirty Harry,Dirty Harry,Dirty Harry Collection,10456,301798.0
10648,1973-12-13,Magnum Force,Magnum Force,Dirty Harry Collection,10456,705984.0
10649,1976-12-16,The Enforcer,The Enforcer,Dirty Harry Collection,10456,72222801.0
10650,1983-12-08,Sudden Impact,Sudden Impact,Dirty Harry Collection,10456,1179229.0
10651,1988-07-13,The Dead Pool,The Dead Pool,Dirty Harry Collection,10456,1179278.0
10320,2005-03-10,The Ring Two,The Ring Two,The Ring Collection,14563,173944.0
565,2002-10-18,The Ring,The Ring,The Ring Collection,14563,414113.0
14564,2017-02-01,Rings,Rings,The Ring Collection,14563,414113.0
63105,1995-08-18,Nemesis 2: Nebula,Nemesis 2: Nebula,Nemesis Collection,286948,24936868.0
24230,1992-12-26,Nemesis,Nemesis,Nemesis Collection,286948,3066864.0
107096,1996-06-18,Nemesis 3: Time Lapse,Nemesis 3: Time Lapse,Nemesis Collection,286948,24937369.0
60173,1996-12-23,Nemesis 4: Death Angel,Nemesis 4: Death Angel,Nemesis Collection,286948,24937614.0
540727,2017-12-01,Nemesis 5: The New Model,Nemesis 5: The New Model,Nemesis Collection,286948,3066864.0
25834,1982-12-06,Xtro,Xtro,Xtro Collection,114915,2831557.0
55952,1990-05-04,Xtro 2: The Second Encounter,Xtro 2: The Second Encounter,Xtro Collection,114915,8012754.0
57597,1995-11-14,Xtro 3: Watch the Skies,Xtro 3: Watch the Skies,Xtro Collection,114915,12566479.0
54050,1969-07-06,The Over the Hill Gang,The Over the Hill Gang,The Over-the-Hill Gang Collection,930019,14097370.0
59984,1970-11-16,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Collection,930019,14187517.0
284249,1969-03-03,Fear No Evil,Fear No Evil,Dr. David Sorell Collection,930024,53752583.0
335034,1970-02-23,Ritual of Evil,Ritual of Evil,Dr. David Sorell Collection,930024,41730793.0
10911,1961-04-27,The Guns of Navarone,The Guns of Navarone,Navarone Collection,366826,6984559.0
17339,1978-08-16,Force 10 from Navarone,Force 10 from Navarone,Navarone Collection,366826,1172977.0
324039,1973-03-03,The Letters,The Letters,The Letters Collection,930026,48127511.0
