,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Unnamed: 0,id,release_date,original_title,title,collection,collection_id
42489,31296081,/m/0gx_f14,Wrong Turn 4: Bloody Beginnings,2011-10-17,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/03npn"": ""Horror""}",1622,71672,2011-10-17,Wrong Turn 4: Bloody Beginnings,Wrong Turn 4: Bloody Beginnings,Wrong Turn Collection,52985
42526,5227029,/m/0d8vt_,The Birds II: Land's End,1994-03-14,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06vxwl5"": ""Natural horror films"", ""/m/03npn"": ""Horror""}",725,4337,1994-03-19,The Birds II: Land's End,The Birds II: Land's End,The Birds Collection,690952
42646,243064,/m/01k866,Halloween III: Season of the Witch,1982-10-22,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/02n4kr"": ""Mystery"", ""/m/01585b"": ""Slasher""}",1148,10676,1982-10-22,Halloween III: Season of the Witch,Halloween III: Season of the Witch,Halloween Collection,91361
42674,3020167,/m/08k_5z,How to Stuff a Wild Bikini,1965,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mw3"": ""Beach Film"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",393,26879,1965-07-14,How to Stuff a Wild Bikini,How to Stuff a Wild Bikini,Beach Party Collection,338327
42844,11892602,/m/02rx17v,Snake Eater II: The Drug Buster,,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/0219x_"": ""Indie""}",965,71201,1989-10-01,Snake Eater II: The Drug Buster,Snake Eater II: The Drug Buster,Snake Eater Collection,218104
43016,553101,/m/02p8gn,The Fly,1958,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",278,11815,1958-07-16,The Fly,The Fly,The Fly Collection,123213
43041,2372198,/m/0777s1,The Return of Frank James,1940,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03bxz7"": ""Biographical film""}",1354,43821,1940-08-10,The Return of Frank James,The Return of Frank James,James Brothers Collection,493022
43156,28038054,/m/04j2r9y,Violence in a Women's Prison,1982,,96.0,{},"{""/m/03rjj"": ""Italy""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/02nxfrh"": ""Adult"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/02kdv5l"": ""Action"", ""/m/0d1w9"": ""Prison"", ""/m/06b0n3"": ""Sexploitation""}",1667,28574,1982-09-09,Violenza in un carcere femminile,Violence in a Women's Prison,Black Emanuelle Collection,227140
43164,600351,/m/02v63m,Scream 3,2000-02-03,161834276.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0gf28"": ""Parody"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/02n4kr"": ""Mystery"", ""/m/01z4y"": ""Comedy"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",526,4234,2000-02-04,Scream 3,Scream 3,Scream Collection,2602
43183,5801352,/m/0f5kjm,Exterminator 2,1984-09-14,3739406.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action""}",1263,69343,1984-09-14,Exterminator 2,Exterminator 2,The Exterminator Collection,284024
43264,5195911,/m/0d7907,Return to Halloweentown,2006-10,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01z4y"": ""Comedy"", ""/m/015w9s"": ""Television movie""}",1129,34204,2006-10-20,Return to Halloweentown,Return to Halloweentown,Halloweentown Collection,87252
43303,8265606,/m/026ybcg,Dick Tracy's G-Men,1939-09-02,,302.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0vjs6"": ""Detective"", ""/m/04pbhw"": ""Superhero movie"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/0btmb"": ""Superhero"", ""/m/02kdv5l"": ""Action""}",733,110699,1939-09-02,Dick Tracy's G-Men,Dick Tracy's G-Men,Dick Tracy Collection,224011
43347,2097287,/m/06lyg6,Psycho II,1983-06-03,34725000.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/01585b"": ""Slasher""}",838,10576,1983-06-03,Psycho II,Psycho II,Psycho Collection,119674
43373,30251159,/m/04j27m7,The Jade Mask,1945-01-26,,66.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02n4kr"": ""Mystery""}",1798,38468,1945-01-26,Charlie Chan in The Jade Mask,Charlie Chan in The Jade Mask,Charlie Chan (Sidney Toler) Collection,413661
43456,2462597,/m/07ftpp,The Stepford Wives,1975-02-12,,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/01q03"": ""Cult"", ""/m/0vgkd"": ""Black comedy""}",1500,12223,1975-02-12,The Stepford Wives,The Stepford Wives,Stepford Collection,374384
43489,3028191,/m/08ll52,A Nightmare on Elm Street,1984-11-09,26319961.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/0fdjb"": ""Supernatural"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",366,377,1984-10-31,A Nightmare on Elm Street,A Nightmare on Elm Street,A Nightmare on Elm Street Collection,8581
43559,10600575,/m/02qjwn7,The Brave Archer,1977-07-30,,117.0,"{""/m/0653m"": ""Standard Mandarin""}","{""/m/03h64"": ""Hong Kong""}","{""/m/08322"": ""Wuxia"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",814,73749,1977-07-30,射鵰英雄傳,The Brave Archer,The Brave Archer Collection,205675
43580,1082656,/m/044g_k,Superman Returns,2006-06-21,391081192.0,153.0,"{""/m/064_8sq"": ""French Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",292,1452,2006-06-28,Superman Returns,Superman Returns,Superman Collection,8537
43792,25090397,/m/09gh9gd,Dr. Kildare's Strange Case,1940-04-12,,,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/04gm78f"": ""Medical fiction""}",756,153165,1940-04-12,Dr. Kildare's Strange Case,Dr. Kildare's Strange Case,Dr. Kildare Collection,721733
43825,3316533,/m/0959db,Poltergeist III,1988-06-10,14114488.0,98.0,"{""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",153,10306,1988-06-10,Poltergeist III,Poltergeist III,Poltergeist Collection,10453
43864,1348785,/m/04vr2x,The Librarian: Quest for the Spear,2004-12-05,,92.0,"{""/m/064_8sq"": ""French Language"", ""/m/0148c4"": ""Mongolian language"", ""/m/04h9h"": ""Latin Language"", ""/m/05zjd"": ""Portuguese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film""}",1704,14207,2004-07-12,The Librarian: Quest for the Spear,The Librarian: Quest for the Spear,The Librarian Collection,85890
43878,10874116,/m/02qsqmq,St. Trinian's,2007-12-10,29066483.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0hj3m_x"": ""Crime Comedy"", ""/m/01z4y"": ""Comedy""}",1651,10748,2007-12-21,St. Trinian's,St. Trinian's,St. Trinian's Collection,12077
43952,7277111,/m/0kv38y,Curse of the Devil,1973,,84.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0b90_r"": ""Mexico"", ""/m/06mkj"": ""Spain""}","{""/m/03npn"": ""Horror""}",383,40347,1973-10-30,El retorno de Walpurgis,Curse of the Devil,Daninsky Werewolf Collection,844181
44008,805354,/m/03dbvd,Ewoks: The Battle for Endor,1985-11-24,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06qln"": ""Stop motion"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family""}",670,10372,1985-11-24,Ewoks: The Battle for Endor,Ewoks: The Battle for Endor,Star Wars: The Ewok Adventures Collection,133830
44014,31657410,/m/0bw3txr,Secrets of the Lone Wolf,1941-11-13,,66.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery""}",107,119313,1941-11-13,Secrets of the Lone Wolf,Secrets of the Lone Wolf,Lone Wolf Collection,395433
44032,1336108,/m/04tqc2,Bride of Re-Animator,1990-09-08,,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/01q03"": ""Cult"", ""/m/01z4y"": ""Comedy"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/0hj3n7f"": ""Horror Comedy""}",1617,18111,1990-09-01,Bride of Re-Animator,Bride of Re-Animator,Re-Animator Collection,98036
44066,2631894,/m/07t0q5,The Pearl of Death,1944,,69.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/028v3"": ""Detective fiction"", ""/m/0vjs6"": ""Detective"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller""}",1296,33421,1944-08-01,The Pearl of Death,The Pearl of Death,Sherlock Holmes (Basil Rathbone) Collection,478628
44098,29144938,/m/09pgg_1,The Secret of Dr. Kildare,1939-11-24,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama""}",751,153163,1939-11-24,The Secret of Dr. Kildare,The Secret of Dr. Kildare,Dr. Kildare Collection,721733
44122,2631898,/m/07t0qj,The Scarlet Claw,1944-05-26,,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/028v3"": ""Detective fiction"", ""/m/0vjs6"": ""Detective"", ""/m/0fdjb"": ""Supernatural"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller""}",1295,33423,1944-05-18,The Scarlet Claw,The Scarlet Claw,Sherlock Holmes (Basil Rathbone) Collection,478628
44212,2501266,/m/07j8r5,Prehysteria trilogy,1990,270000000.0,250.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06qln"": ""Stop motion"", ""/m/01hmnh"": ""Fantasy""}",1691,201937,1994-11-09,Prehysteria! 2,Prehysteria! 2,Prehysteria Collection,640872
44212,2501266,/m/07j8r5,Prehysteria trilogy,1990,270000000.0,250.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06qln"": ""Stop motion"", ""/m/01hmnh"": ""Fantasy""}",1692,79500,1993-06-30,Prehysteria!,Prehysteria!,Prehysteria Collection,640872
44212,2501266,/m/07j8r5,Prehysteria trilogy,1990,270000000.0,250.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06qln"": ""Stop motion"", ""/m/01hmnh"": ""Fantasy""}",1693,201938,1995-09-26,Prehysteria! 3,Prehysteria! 3,Prehysteria Collection,640872
44415,7051491,/m/0h21v2,Poltergeist,1982-06-04,121706019.0,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/0c3351"": ""Suspense"", ""/m/0fdjb"": ""Supernatural""}",152,609,1982-06-04,Poltergeist,Poltergeist,Poltergeist Collection,10453
44420,30854893,/m/08b9v0,Return of the Living Dead 3,1993-10-29,54207.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01q03"": ""Cult"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/0qdzd"": ""B-movie"", ""/m/02b5_l"": ""Teen""}",1042,28260,1993-10-01,Return of the Living Dead III,Return of the Living Dead III,Return of the Living Dead Collection,101471
44424,20030612,/m/04yd8zv,District B13 Ultimatum,2009-02-08,,106.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0f8l9c"": ""France""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/06n90"": ""Science Fiction"", ""/m/02r5rng"": ""Parkour in popular culture"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/02kdv5l"": ""Action""}",1763,15357,2009-02-18,Banlieue 13 - Ultimatum,District 13: Ultimatum,District 13 Collection,85946
44490,25768880,/m/09v5yyd,The Trap,1946-11-30,,62.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery"", ""/m/05p553"": ""Comedy film"", ""/m/01jfsb"": ""Thriller""}",1804,38472,1946-11-30,The Trap,The Trap,Charlie Chan (Sidney Toler) Collection,413661
44528,17346283,/m/043sf_n,S. Darko,2009-05-12,,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/06n90"": ""Science Fiction"", ""/m/0fdjb"": ""Supernatural"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/01j1n2"": ""Coming of age"", ""/m/01hmnh"": ""Fantasy"", ""/m/02b5_l"": ""Teen""}",1764,17532,2009-04-28,S. Darko,S. Darko,Darko Collection,178106
44537,612866,/m/02wk7b,Secrets & Lies,1996-05,,135.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0f8l9c"": ""France"", ""/m/07ssc"": ""United Kingdom""}","{""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",983,615002,1997-01-07,Secrets Revealed,Secrets Revealed,The Click,955406
44624,22461941,/m/05znjy_,Santa Baby 2,2009-12,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy"", ""/m/015w9s"": ""Television movie""}",1364,42673,2009-12-13,Santa Baby 2,Santa Baby 2,Santa Baby Collection,134635
44746,4823450,/m/0cpqx7,The Revenge of Frankenstein,1958,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0qdzd"": ""B-movie"", ""/m/0hj3n4p"": ""Gothic Film"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0h9qh"": ""Monster"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_c"": ""Costume Horror""}",777,3127,1958-06-13,The Revenge of Frankenstein,The Revenge of Frankenstein,Frankenstein (Hammer) Collection,123720
44802,3745331,/m/09yqhw,Hellraiser III: Hell on Earth,1992-09-11,12525537.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0fdjb"": ""Supernatural""}",683,11569,1992-09-11,Hellraiser III: Hell on Earth,Hellraiser III: Hell on Earth,Hellraiser Collection,8917
44894,9618920,/m/02pm184,Captive Wild Woman,1943-06-04,,61.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/068d7h"": ""Romantic drama"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror""}",139,84708,1943-06-04,Captive Wild Woman,Captive Wild Woman,The Ape Woman Collection,809152
44980,570258,/m/02r3w_,Invasion of Astro-Monster,1965-12-19,,94.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan""}","{""/m/06n90"": ""Science Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0h9qh"": ""Monster""}",1600,19545,1965-12-19,怪獣大戦争,Invasion of Astro-Monster,Godzilla (Showa) Collection,374509
45036,5153217,/m/0d57b0,The Ghost Galleon,1974-09-15,,85.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain""}","{""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",1533,28067,1974-06-28,El buque maldito,The Ghost Galleon,The Blind Dead Collection,108170
45173,3566967,/m/09m01l,The Mysterians,1957-12-28,,85.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0hj3mt0"": ""Alien Film"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/06n90"": ""Science Fiction"", ""/m/03q4nz"": ""World cinema""}",187,43226,1957-12-28,地球防衛軍,The Mysterians,The Mysterians Collection,491769
45214,4968653,/m/0cxnx_,The Four Musketeers,1974-10-31,,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/06mkj"": ""Spain"", ""/m/07ssc"": ""United Kingdom"", ""/m/05qx1"": ""Panama""}","{""/m/02qvnvs"": ""Swashbuckler films"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/04xvh5"": ""Costume drama"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/060__y"": ""Film adaptation"", ""/m/02kdv5l"": ""Action""}",1461,12310,1974-10-31,The Four Musketeers,The Four Musketeers,The Musketeers Collection,87631
45233,2886766,/m/0896ql,Kickboxer,1989-04-20,,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film""}",807,10222,1989-04-20,Kickboxer,Kickboxer,Kickboxer Collection,105322
45239,5550520,/m/0ds3gq,Class of 1984,1982,,96.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0219x_"": ""Indie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/0hj3n9c"": ""Juvenile Delinquency Film""}",536,11564,1982-08-20,Class of 1984,Class of 1984,Class of 1999 Collection,164397
45343,423372,/m/026qnn,Wild Things,1998-03-20,30147739.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/02n4kr"": ""Mystery"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03j0dp"": ""Neo-noir""}",225,617,1998-03-20,Wild Things,Wild Things,Wild Things Collection,33059
45343,423372,/m/026qnn,Wild Things,1998-03-20,30147739.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/02n4kr"": ""Mystery"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03j0dp"": ""Neo-noir""}",226,10367,2004-02-19,Wild Things 2,Wild Things 2,Wild Things Collection,33059
45407,3416006,/m/09b9x1,The Legend of Boggy Creek,1972-12-06,20000000.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/0219x_"": ""Indie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01f9r0"": ""Docudrama"", ""/m/07s9rl0"": ""Drama"", ""/m/03npn"": ""Horror""}",847,1842,1972-08-01,The Legend of Boggy Creek,The Legend of Boggy Creek,Boggy Creek Collection,983933
45407,3416006,/m/09b9x1,The Legend of Boggy Creek,1972-12-06,20000000.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/0219x_"": ""Indie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01f9r0"": ""Docudrama"", ""/m/07s9rl0"": ""Drama"", ""/m/03npn"": ""Horror""}",850,78083,2010-07-01,Boggy Creek,Boggy Creek,Boggy Creek Collection,983933
45407,3416006,/m/09b9x1,The Legend of Boggy Creek,1972-12-06,20000000.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/0219x_"": ""Indie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01f9r0"": ""Docudrama"", ""/m/07s9rl0"": ""Drama"", ""/m/03npn"": ""Horror""}",851,232789,2010-12-31,The Legacy of Boggy Creek,The Legacy of Boggy Creek,Boggy Creek Collection,983933
45479,449547,/m/029v40,Licence to Kill,1989-06-13,156200000.0,133.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/0hj3n4h"": ""Glamorized Spy Film"", ""/m/02kdv5l"": ""Action""}",623,709,1989-06-13,Licence to Kill,Licence to Kill,James Bond Collection,645
45544,304428,/m/01s9vc,The Birds,1963-03-28,11403529.0,119.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/03npn"": ""Horror"", ""/m/0c3351"": ""Suspense"", ""/m/094ddt"": ""Doomsday film""}",724,571,1963-03-28,The Birds,The Birds,The Birds Collection,690952
45701,865607,/m/03jr91,The Quatermass Xperiment,1955-09-28,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0hj3mt0"": ""Alien Film""}",797,24580,1955-08-26,The Quatermass Xperiment,The Quatermass Xperiment,Quatermass (Hammer series),123726
45748,7106195,/m/0h4dtc,Warlock: The Armageddon,1993,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/01hmnh"": ""Fantasy"", ""/m/03npn"": ""Horror"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",1367,24126,1993-05-01,Warlock: The Armageddon,Warlock: The Armageddon,Warlock Collection,87536
