,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,id,collection,collection_id
35301,5113430,/m/0d373w,Pumpkinhead 4: Blood Feud,2007,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",35979,Pumpkinhead Collection,123256
35576,9430272,/m/0288nl2,The Monster and the Girl,1941-02-28,,65.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02xh1"": ""Film noir"", ""/m/0hj3m_q"": ""Creature Film""}",106296,The Ape Woman Collection,809152
36045,11327665,/m/02r7wnb,The Net 2.0,2006,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense"", ""/m/09blyk"": ""Psychological thriller""}",9834,The Net Collection,328073
37351,2831557,/m/085j4s,Xtro,1983-01,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",25834,Xtro Collection,114915
37830,3096374,/m/08r4vr,The Bad News Bears Go to Japan,1978-06-30,,101.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan""}","{""/m/01z02hx"": ""Sports"", ""/m/0hqxf"": ""Family Film"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/01z4y"": ""Comedy"", ""/m/018jz"": ""Baseball""}",66946,The Bad News Bears Collection,215326
37849,985537,/m/03ws3t,Allan Quatermain and the Lost City of Gold,1987-05-16,3751699.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/088q4"": ""Zimbabwe""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3n96"": ""Jungle Film"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure"", ""/m/01z4y"": ""Comedy""}",9710,Allan Quatermain Collection,135502
38038,2367984,/m/076zs0,Absolute Beginners,1986-04-18,,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/02jx1"": ""England"", ""/m/07ssc"": ""United Kingdom""}","{""/m/04xvlr"": ""Period piece"", ""/m/04t36"": ""Musical"", ""/m/01j1n2"": ""Coming of age"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",10853,Die Supernasen Filmreihe,430157
38067,1730084,/m/05rr1_,101 Dalmatians II: Patch's London Adventure,2002-09-17,,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hj3mtv"": ""Animated Musical"", ""/m/0hcr"": ""Animation"", ""/m/04t36"": ""Musical"", ""/m/095bb"": ""Animated cartoon"", ""/m/0hqxf"": ""Family Film""}",13654,101 Dalmatians (Animated) Collection,100693
38351,28190354,/m/0ddcbd5,Johnny English Reborn,2011-09-15,160078586.0,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0f8l9c"": ""France"", ""/m/03_3d"": ""Japan"", ""/m/03spz"": ""Israel"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01jfsb"": ""Thriller"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/0bkbm"": ""Spy""}",58233,Johnny English Collection,86117
38384,447672,/m/029lg9,"Legally Blonde 2: Red, White & Blonde",2003-07-02,124914842.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/05p553"": ""Comedy film"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/05mrx8"": ""Political satire"", ""/m/01z4y"": ""Comedy"", ""/m/0cshrf"": ""Political cinema"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",10327,Legally Blonde Collection,86024
38443,12260598,/m/027j9wd,Ice Age: Dawn of the Dinosaurs,2009-07-01,886686817.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n26"": ""Family-Oriented Adventure""}",8355,Ice Age Collection,8354
38502,21432813,/m/05f6dg2,Philadelphia Experiment II,1993-11-12,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction""}",35610,The Philadelphia Experiment Collection,145784
38769,5083422,/m/0d1z04,Battle in Outer Space,1959-12-26,,90.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03_3d"": ""Japan""}","{""/m/06n90"": ""Science Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",62472,The Mysterians Collection,491769
39019,4348164,/m/0byf2h,Jian Gui 2,2004-03-18,,90.0,"{""/m/0459q4"": ""Standard Cantonese"", ""/m/0c_v2"": ""Thai Language"", ""/m/02h40lc"": ""English Language"", ""/m/0653m"": ""Standard Mandarin"", ""/m/012w70"": ""Cantonese""}","{""/m/07f1x"": ""Thailand"", ""/m/03h64"": ""Hong Kong""}","{""/m/03npn"": ""Horror"", ""/m/0gw5qqq"": ""Chinese Movies"", ""/m/03q4nz"": ""World cinema""}",24674,The Eye Collection,264335
39102,2484540,/m/07h4yp,Fletch,1985-05-31,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/01z4y"": ""Comedy"", ""/m/01q03"": ""Cult"", ""/m/0hj3mzb"": ""Comedy Thriller""}",9749,Fletch Collection,104833
39193,2184621,/m/06t6sh,Alexander: The Other Side of Dawn,1977-05-16,,96.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/0hj3n9c"": ""Juvenile Delinquency Film"", ""/m/0hj3n01"": ""Crime Drama""}",258599,Teenage Runaway Collection,930059
39263,3509709,/m/09hf7j,Curse of the Fly,1965,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01q03"": ""Cult"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",38125,The Fly Collection,123213
39336,2892393,/m/089mbh,"Initiation: Silent Night, Deadly Night 4",1990-11-16,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",59762,"Silent Night, Deadly Night Collection",256296
39517,7276177,/m/0kv35g,El Hombre que Vino de Ummo,1970,,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain"", ""/m/03rjj"": ""Italy""}","{""/m/03npn"": ""Horror""}",3216,Daninsky Werewolf Collection,844181
40136,3038054,/m/08md6z,A Nightmare on Elm Street 5: The Dream Child,1989-08-11,22168359.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",10160,A Nightmare on Elm Street Collection,8581
40820,5671546,/m/0dzbxn,Friends,2001,,,"{""/m/07c9s"": ""Tamil Language""}","{""/m/03rk0"": ""India""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0fztc6"": ""Tamil cinema""}",4156,Friends Collection,321647
41545,26967701,/m/0bryr1y,Wild Things: Foursome,2010,,91.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/0c3351"": ""Suspense"", ""/m/0glj9q"": ""Erotic thriller""}",37708,Wild Things Collection,33059
41589,903383,/m/03nfnx,Shrek the Third,2007-05-06,798958162.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0bxg3"": ""Fairy tale"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/01z4y"": ""Comedy""}",810,Shrek Collection,2150
41868,33103548,/m/0crt8zg,Tomie: Forbidden Fruit,2002-06-29,,91.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",52407,Tomie Collection,139394
41896,9618696,/m/02pm10y,The Frozen Ghost,1945-06-01,,61.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror""}",64078,Inner Sanctum Mysteries Collection,1005941
42179,7274700,/m/0kv305,The Werewolf,1956-07,,79.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",115423,Daninsky Werewolf Collection,844181
42482,1096949,/m/045qtt,The Prince and Me,2004-03-28,37666766.0,106.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language"", ""/m/0295r"": ""Danish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/01mjq"": ""Czech Republic""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",11137,The Prince & Me Collection,86334
42488,27923824,/m/0bv6qnt,Paranormal Activity 2,2010-10-20,177512032.0,99.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/0c3351"": ""Suspense""}",41436,Paranormal Activity Collection,41437
42674,3020167,/m/08k_5z,How to Stuff a Wild Bikini,1965,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mw3"": ""Beach Film"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",26879,Beach Party Collection,338327
43016,553101,/m/02p8gn,The Fly,1958,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",11815,The Fly Collection,123213
43489,3028191,/m/08ll52,A Nightmare on Elm Street,1984-11-09,26319961.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/0fdjb"": ""Supernatural"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",377,A Nightmare on Elm Street Collection,8581
43580,1082656,/m/044g_k,Superman Returns,2006-06-21,391081192.0,153.0,"{""/m/064_8sq"": ""French Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",1452,Superman Collection,8537
43825,3316533,/m/0959db,Poltergeist III,1988-06-10,14114488.0,98.0,"{""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",10306,Poltergeist Collection,10453
44014,31657410,/m/0bw3txr,Secrets of the Lone Wolf,1941-11-13,,66.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery""}",119313,Lone Wolf Collection,395433
44415,7051491,/m/0h21v2,Poltergeist,1982-06-04,121706019.0,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/0c3351"": ""Suspense"", ""/m/0fdjb"": ""Supernatural""}",609,Poltergeist Collection,10453
44894,9618920,/m/02pm184,Captive Wild Woman,1943-06-04,,61.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/068d7h"": ""Romantic drama"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror""}",84708,The Ape Woman Collection,809152
44936,1039322,/m/040mt6,Black Sheep,1996-02-02,32417995.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0cshrf"": ""Political cinema"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",67354,Pater Brown Collection,221691
45173,3566967,/m/09m01l,The Mysterians,1957-12-28,,85.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0hj3mt0"": ""Alien Film"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/06n90"": ""Science Fiction"", ""/m/03q4nz"": ""World cinema""}",43226,The Mysterians Collection,491769
45343,423372,/m/026qnn,Wild Things,1998-03-20,30147739.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/02n4kr"": ""Mystery"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03j0dp"": ""Neo-noir""}",617,Wild Things Collection,33059
45343,423372,/m/026qnn,Wild Things,1998-03-20,30147739.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/02n4kr"": ""Mystery"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03j0dp"": ""Neo-noir""}",10367,Wild Things Collection,33059
46262,5812638,/m/0f6l58,Midnight Run for Your Life,1994-06-11,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/05p553"": ""Comedy film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",437066,Midnight Run Collection,633215
46405,2192765,/m/06tw0x,Eye for an Eye,1996-01-12,26877589.0,102.0,"{""/m/064_8sq"": ""French Language"", ""/m/02hwhyv"": ""Korean Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/09blyk"": ""Psychological thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/02wtdps"": ""Crime Thriller""}",10389,The Eye Collection,264335
46517,9830229,/m/02ptczs,Rosemary's Baby,1968-06-12,33395426.0,136.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/07s9rl0"": ""Drama"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery""}",805,Rosemary's Baby Collection,264338
46542,20097181,/m/04ygk5x,The Jungle Captive,1945,,63.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white""}",84711,The Ape Woman Collection,809152
46736,4990409,/m/0cysc6,Wild Things: Diamonds in the Rough,2005-02-19,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06b0n3"": ""Sexploitation""}",17124,Wild Things Collection,33059
46804,8446486,/m/0273q8b,Fong Sai-Yuk,1993,,100.0,"{""/m/0459q4"": ""Standard Cantonese"", ""/m/012w70"": ""Cantonese""}","{""/m/03h64"": ""Hong Kong""}","{""/m/01jfsb"": ""Thriller"", ""/m/03q4nz"": ""World cinema"", ""/m/03g3w"": ""History"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",17653,Fong Sai Yuk Collection,122945
47121,33097113,/m/0h63xnw,Tomie,1999-03-06,,95.0,{},{},"{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/01hmnh"": ""Fantasy"", ""/m/03npn"": ""Horror""}",37726,Tomie Collection,139394
47457,4389723,/m/0b_p58,Muscle Beach Party,1964,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04t36"": ""Musical"", ""/m/0hj3mw3"": ""Beach Film"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen"", ""/m/07ftpb"": ""Beach Party film""}",27376,Beach Party Collection,338327
47575,9803131,/m/02pspbs,Calling Dr. Death,1943,,63.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/09blyk"": ""Psychological thriller"", ""/m/01g6gs"": ""Black-and-white""}",38273,Inner Sanctum Mysteries Collection,1005941
47759,11437850,/m/02rckkx,Dawn: Portrait of a Teenage Runaway,1976-09-27,,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/02b5_l"": ""Teen""}",212914,Teenage Runaway Collection,930059
47816,3303351,/m/094ff_,House of Dracula,1945-12-07,,67.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",30793,Dracula (Universal) Collection,221539
47869,42993,/m/0bt4g,Back to the Future,1985-07-03,383874862.0,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/09n5t_"": ""Americana"", ""/m/09kqc"": ""Humour"", ""/m/01z4y"": ""Comedy"", ""/m/07s2s"": ""Time travel"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/0hqxf"": ""Family Film""}",105,Back to the Future Collection,264
48097,33641119,/m/0gxbfy6,Mirror Mirror,2012-03-15,162835167.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/03k9fj"": ""Adventure""}",106534,Nyi Blorong - Collection,1106111
49138,12256535,/m/02vxw8z,Wishmaster 2: Evil Never Dies,1999,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0fdjb"": ""Supernatural""}",12594,Wishmaster Collection,135489
49438,27193568,/m/02qydsh,Shrek Forever After,2010-04-21,752600867.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01zhp"": ""Computer Animation"", ""/m/0bxg3"": ""Fairy tale"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/0hj3myc"": ""Children's Fantasy""}",10192,Shrek Collection,2150
49648,9802830,/m/02psp2j,Pillow of Death,1945,,66.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/02n4kr"": ""Mystery""}",64077,Inner Sanctum Mysteries Collection,1005941
49701,33179804,/m/0crrm8v,Turbulence 3: Heavy Metal,2000,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0c3351"": ""Suspense"", ""/m/01drsx"": ""Disaster"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",110670,Turbulence Collection,166379
50039,50793,/m/0ddt_,Star Wars Episode I: The Phantom Menace,1999-05-19,1027044677.0,136.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/0hqxf"": ""Family Film""}",1893,Star Wars Collection,10
50386,826441,/m/02p32wl,Death Wish II,1982-02-20,16100000.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure""}",14373,Death Wish Collection,14377
50477,3737258,/m/09y5jn,Carry On Screaming,1966,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/028v3"": ""Detective fiction"", ""/m/03npn"": ""Horror"", ""/m/0vjs6"": ""Detective"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",5060,Carry On Collection,918027
50753,12545744,/m/0crv709,Darkman II: The Return of Durant,1995-07-11,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/04pbhw"": ""Superhero movie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",18998,Darkman Collection,45154
51208,32415578,/m/04j0nmg,The Eden Formula,2006,,92.0,{},{},"{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/015w9s"": ""Television movie""}",107114,Carnosaur Collection,256484
51351,703807,/m/0344xk,Mighty Morphin' Power Rangers: The Movie,1995-06-30,66433194.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/02b5_l"": ""Teen""}",9070,Power Rangers Collection,708816
51703,2245922,/m/06yx8g,The Paleface,1948-12-24,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/06qm3"": ""Screwball comedy"", ""/m/01z4y"": ""Comedy""}",17804,The Paleface Collection,456980
51823,2251076,/m/06z89r,Breakin' 2: Electric Boogaloo,1984-12-21,15101131.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04dn71w"": ""Dance"", ""/m/0219x_"": ""Indie"", ""/m/026v1nw"": ""Hip hop movies"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/02b5_l"": ""Teen""}",17464,Breakin' Collection,92222
51839,1954311,/m/068mwz,"Silent Night, Deadly Night",1984-11-09,2491460.0,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0219x_"": ""Indie""}",27414,"Silent Night, Deadly Night Collection",256296
52248,736266,/m/036z53,Short Circuit,1986-05-09,40697761.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/06n90"": ""Science Fiction"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy""}",2605,Short Circuit Collection,86347
52361,488623,/m/02gk59,Dr. Phibes Rises Again,1972,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01q03"": ""Cult"", ""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_c"": ""Costume Horror""}",18250,Dr. Phibes Collection,116847
